水道料金・下水道使用料早見表（２か月分）,,,
,,,
,,,
使用水量,水道料金,下水道使用料,合計(税込)
(㎡),(円),(円),(円)
0,"1,540",858,"2,398"
1,"1,588",902,"2,490"
2,"1,638",948,"2,586"
3,"1,688",992,"2,680"
4,"1,738","1,038","2,776"
5,"1,786","1,082","2,868"
6,"1,836","1,128","2,964"
7,"1,886","1,172","3,058"
8,"1,936","1,218","3,154"
9,"1,984","1,262","3,246"
10,"2,034","1,308","3,342"
11,"2,084","1,354","3,438"
12,"2,134","1,398","3,532"
13,"2,182","1,444","3,626"
14,"2,232","1,488","3,720"
15,"2,282","1,534","3,816"
16,"2,332","1,578","3,910"
17,"2,380","1,624","4,004"
18,"2,430","1,668","4,098"
19,"2,480","1,714","4,194"
20,"2,530","1,760","4,290"
21,"2,662","1,854","4,516"
22,"2,794","1,950","4,744"
23,"2,926","2,046","4,972"
24,"3,058","2,142","5,200"
25,"3,190","2,238","5,428"
26,"3,322","2,334","5,656"
27,"3,454","2,428","5,882"
28,"3,586","2,524","6,110"
29,"3,718","2,620","6,338"
30,"3,850","2,716","6,566"
31,"3,982","2,812","6,794"
32,"4,114","2,908","7,022"
33,"4,246","3,004","7,250"
34,"4,378","3,098","7,476"
35,"4,510","3,194","7,704"
36,"4,642","3,290","7,932"
37,"4,774","3,386","8,160"
38,"4,906","3,482","8,388"
39,"5,038","3,578","8,616"
40,"5,170","3,674","8,844"
41,"5,400","3,768","9,168"
42,"5,632","3,864","9,496"
43,"5,862","3,960","9,822"
44,"6,094","4,056","10,150"
45,"6,324","4,152","10,476"
46,"6,556","4,248","10,804"
47,"6,786","4,342","11,128"
48,"7,018","4,438","11,456"
49,"7,248","4,534","11,782"
50,"7,480","4,630","12,110"
51,"7,710","4,726","12,436"
52,"7,942","4,822","12,764"
53,"8,172","4,918","13,090"
54,"8,404","5,012","13,416"
55,"8,634","5,108","13,742"
56,"8,866","5,204","14,070"
57,"9,096","5,300","14,396"
58,"9,328","5,396","14,724"
59,"9,558","5,492","15,050"
60,"9,790","5,588","15,378"
61,"10,092","5,728","15,820"
62,"10,394","5,868","16,262"
63,"10,696","6,010","16,706"
64,"11,000","6,150","17,150"
65,"11,302","6,292","17,594"
66,"11,604","6,432","18,036"
67,"11,906","6,572","18,478"
68,"12,210","6,714","18,924"
69,"12,512","6,854","19,366"
70,"12,814","6,996","19,810"
71,"13,116","7,136","20,252"
72,"13,420","7,276","20,696"
73,"13,722","7,418","21,140"
74,"14,024","7,558","21,582"
75,"14,326","7,700","22,026"
76,"14,630","7,840","22,470"
77,"14,932","7,980","22,912"
78,"15,234","8,122","23,356"
79,"15,536","8,262","23,798"
80,"15,840","8,404","24,244"
81,"16,142","8,544","24,686"
82,"16,444","8,684","25,128"
83,"16,746","8,826","25,572"
84,"17,050","8,966","26,016"
85,"17,352","9,108","26,460"
86,"17,654","9,248","26,902"
87,"17,956","9,388","27,344"
88,"18,260","9,530","27,790"
89,"18,562","9,670","28,232"
90,"18,864","9,812","28,676"
91,"19,166","9,952","29,118"
92,"19,470","10,092","29,562"
93,"19,772","10,234","30,006"
94,"20,074","10,374","30,448"
95,"20,376","10,516","30,892"
96,"20,680","10,656","31,336"
97,"20,982","10,796","31,778"
98,"21,284","10,938","32,222"
99,"21,586","11,078","32,664"
100,"21,890","11,220","33,110"
101,"22,192","11,366","33,558"
102,"22,494","11,514","34,008"
103,"22,796","11,662","34,458"
104,"23,100","11,808","34,908"
105,"23,402","11,956","35,358"
106,"23,704","12,104","35,808"
107,"24,006","12,250","36,256"
108,"24,310","12,398","36,708"
109,"24,612","12,546","37,158"
110,"24,914","12,694","37,608"
111,"25,216","12,840","38,056"
112,"25,520","12,988","38,508"
113,"25,822","13,136","38,958"
114,"26,124","13,282","39,406"
115,"26,426","13,430","39,856"
116,"26,730","13,578","40,308"
117,"27,032","13,724","40,756"
118,"27,334","13,872","41,206"
119,"27,636","14,020","41,656"
120,"27,940","14,168","42,108"
121,"28,242","14,314","42,556"
122,"28,544","14,462","43,006"
123,"28,846","14,610","43,456"
124,"29,150","14,756","43,906"
125,"29,452","14,904","44,356"
126,"29,754","15,052","44,806"
127,"30,056","15,198","45,254"
128,"30,360","15,346","45,706"
129,"30,662","15,494","46,156"
130,"30,964","15,642","46,606"
131,"31,266","15,788","47,054"
132,"31,570","15,936","47,506"
133,"31,872","16,084","47,956"
134,"32,174","16,230","48,404"
135,"32,476","16,378","48,854"
136,"32,780","16,526","49,306"
137,"33,082","16,672","49,754"
138,"33,384","16,820","50,204"
139,"33,686","16,968","50,654"
140,"33,990","17,116","51,106"
141,"34,292","17,262","51,554"
142,"34,594","17,410","52,004"
143,"34,896","17,558","52,454"
144,"35,200","17,704","52,904"
145,"35,502","17,852","53,354"
146,"35,804","18,000","53,804"
147,"36,106","18,146","54,252"
148,"36,410","18,294","54,704"
149,"36,712","18,442","55,154"
150,"37,014","18,590","55,604"
151,"37,316","18,736","56,052"
152,"37,620","18,884","56,504"
153,"37,922","19,032","56,954"
154,"38,224","19,178","57,402"
155,"38,526","19,326","57,852"
156,"38,830","19,474","58,304"
157,"39,132","19,620","58,752"
158,"39,434","19,768","59,202"
159,"39,736","19,916","59,652"
160,"40,040","20,064","60,104"
161,"40,342","20,210","60,552"
162,"40,644","20,358","61,002"
163,"40,946","20,506","61,452"
164,"41,250","20,652","61,902"
165,"41,552","20,800","62,352"
166,"41,854","20,948","62,802"
167,"42,156","21,094","63,250"
168,"42,460","21,242","63,702"
169,"42,762","21,390","64,152"
170,"43,064","21,538","64,602"
171,"43,366","21,684","65,050"
172,"43,670","21,832","65,502"
173,"43,972","21,980","65,952"
174,"44,274","22,126","66,400"
175,"44,576","22,274","66,850"
176,"44,880","22,422","67,302"
177,"45,182","22,568","67,750"
178,"45,484","22,716","68,200"
179,"45,786","22,864","68,650"
180,"46,090","23,012","69,102"
181,"46,392","23,158","69,550"
182,"46,694","23,306","70,000"
183,"46,996","23,454","70,450"
184,"47,300","23,600","70,900"
185,"47,602","23,748","71,350"
186,"47,904","23,896","71,800"
187,"48,206","24,042","72,248"
188,"48,510","24,190","72,700"
189,"48,812","24,338","73,150"
190,"49,114","24,486","73,600"
191,"49,416","24,632","74,048"
192,"49,720","24,780","74,500"
193,"50,022","24,928","74,950"
194,"50,324","25,074","75,398"
195,"50,626","25,222","75,848"
196,"50,930","25,370","76,300"
197,"51,232","25,516","76,748"
198,"51,534","25,664","77,198"
199,"51,836","25,812","77,648"
200,"52,140","25,960","78,100"
201,"52,442","26,152","78,594"
202,"52,744","26,344","79,088"
203,"53,046","26,536","79,582"
204,"53,350","26,730","80,080"
205,"53,652","26,922","80,574"
206,"53,954","27,114","81,068"
207,"54,256","27,306","81,562"
208,"54,560","27,500","82,060"
209,"54,862","27,692","82,554"
210,"55,164","27,884","83,048"
211,"55,466","28,076","83,542"
212,"55,770","28,270","84,040"
213,"56,072","28,462","84,534"
214,"56,374","28,654","85,028"
215,"56,676","28,846","85,522"
216,"56,980","29,040","86,020"
217,"57,282","29,232","86,514"
218,"57,584","29,424","87,008"
219,"57,886","29,616","87,502"
220,"58,190","29,810","88,000"
230,"61,214","31,734","92,948"
240,"64,240","33,660","97,900"
250,"67,264","35,584","102,848"
260,"70,290","37,510","107,800"
270,"73,314","39,434","112,748"
280,"76,340","41,360","117,700"
290,"79,364","43,284","122,648"
300,"82,390","45,210","127,600"
350,"97,514","54,834","152,348"
400,"112,640","64,460","177,100"
450,"127,764","75,020","202,784"
500,"142,890","85,580","228,470"
"1,000","294,140","191,180","485,320"
"2,000","596,640","415,580","1,012,220"
"5,000","1,504,140","1,125,080","2,629,220"
"10,000","3,016,640","2,307,580","5,324,220"
